Number,Year Erected,Marker Name,Marker Text,Civil War Site?,Notes,Location,Latitude,Longitude,Condition,Mapped Location
159,2017,Centenary Methodist Institute,"Women from the Methodist Training School founded Warioto Settlement House in 1908. Renamed Centenary Methodist Institute, CMI moved to this location by 1921. CMI worked with rural migrant families in the North Nashville area called Kalb Hollow, providing a health care clinic and instruction in domestic skills and childcare. Children and teens participated in sports and clubs, directed for many years by Tom Page. CMI merged with Bethlehem Centers of Nashville in 1970.",,"approved in 2015, ordered and installed 2017",614/616 Monroe Street,36.176025,-86.791107,,POINT (-86.791107 36.176025)
166,2018,Paradise Ridge,"Named for the Paradise brothers, early settlers from North Carolina, this ridge was home to the Joelton Air Force Station from 1956-61, when the 799th Aircraft Control and Warning Squadron operated here as a part of the integrated continental defense system against aerial attacks from the Soviet Union. After the station closed, the radar equipment was updated and is still used as part of the FAA Joint Surveillance System. The Paradise Ridge Community Center opened here in 2013.",,Council District 1,"Paradise Ridge Park,  3000 Morgan Rd.",36.335708,-86.85987,,POINT (-86.85987 36.335708)
181,2018,Logue House,"In 1786, the State of North Carolina deeded this land as part of a 640 acre grant to Revolutionary War Private and land surveyor James Mulherin. The c. 1920 stone American Foursquare dwelling was home to Gilbert Stroud Logue and Emma McEwan Logue. Gilbert was a professional Southern Circuit bicycle racer, a Scottish Rite 32nd degree Mason, and an investor in multiple businesses. Emma, a founding member of the Lebanon Road Garden Club, often hosted meetings at this estate.",,Council District 15,115 Cottage Ln.,36.1681,-86.692215,,POINT (-86.692215 36.1681)
69,1976,Tennessee State University,"Tennessee Agricultural & Industrial State Normal School for Negroes first opened its doors to 247 students in 1912. this site gave birth to a new era of public higher education for Negroes in the state of Tennessee with emphasis on agricultural & industrial occupations. In 1922 the school became a college & in 1951, a university.",,,"TSU Campus, 3500 John A. Merritt Blvd, Hankal Hall",36.168123,-86.830108,,POINT (-86.830108 36.168123)
149,2013,Bass Park,"This .2-acre lot was purchased by East Nashville citizens and presented to the city on December 12, 1921 as a public park and playground. The undeveloped lot provided views of the adjacent fire hall and was intended to keep firefighters from being disturbed. Nashville's smallest park, Bass Park was named in honor of Fire Captain Herman Bass, the first captain of the fire hall.",,double-sided,"Bass Park, 1600 Holly Street",36.175477,-86.74195,,POINT (-86.74195 36.175477)
27,1970,City of Edgefield,"The portion of East Nashville known as Edgefield, the name suggested by Gov. Neill S. Brown, was incorporated as a city Jan. 2, 1869. Its approximate bounds were Shelby Ave., Sevier St., So. 10th St., Berry St., Cowan Ave. and the River. It's first mayor was W.A. Glenn and its last was S.M. Wene. It was annexed to the City of Nashville Feb. 6, 1880.",,,South 5th Street and Fatherland Street,36.169946,-86.763934,,POINT (-86.763934 36.169946)
113,2003,Tolbert Fanning 1810-1874,"In 1844, noted educator, evangelist, and agriculturalist Tolbert Fanning started Franklin College, a liberal arts school near this site where boys farmed to cover tuition. In 1855 he co-founded the Gospel Advocate, a religious journal. Fanning's wife, Charlotte Fall, began Fanning Orphan School for girls here in 1884. Their aim was to put education within the 'reach of every youth.'",,,Briley Parkway and Vultee Boulevard,36.124368,-86.696267,,POINT (-86.696267 36.124368)
175,2018,Tennessee Hospital for the Insane,"In 1832, the Tenn. legislature approved the state's first asylum, established in 1840 southwest of Nashville. The State bought this land in 1848, after activist-reformer Dorothea Dix and asylum staff called for improved facilities. Prominent architect Adolphus Heiman designed the Gothic-style complex with octagonal towers and separate wards. Opened in 1852 and renamed Central State Hospital in 1920, it closed in 1995. A stone gatehouse and unmarked graves are all that remain.",,Council District 13,2 Dell Parkway,36.107811,-86.677384,,POINT (-86.677384 36.107811)
154,2013,North Nashville High School,"Located 1100 Clay Street, North Nashville High School opened in 1940. Designed by Hart and Russell, the building was constructed with funding from the Public Works Administration, and featured carved stone panels by sculptor Puryear Mims. The first class graduated in 1941. Four principals served North High: J.H. Noel, W.J. Mullins, L.L. Carnes, and R.W. Elliot. The final commencement was held June 8, 1978. North High was demolished in 1987.",,,1000 Cass Street,36.186379,-86.805722,,POINT (-86.805722 36.186379)
151,2013,Richland Park,"Once a part of the Byrd Douglas plantation, the Nashville Land Improvement Company dedicated ten acres for a public park in 1887. After annexation, the park became a Nashville City Park in 1907, and the City added playground equipment. Richland Park hosted many community events such as ice cream socials, band concerts, outdoor movies, and sporting events. The commmunity center opened in 1932, and was converted in the Richland Park Library in 1961-62.",,,"4711 Charlotte Avenue, in front of Richland Park Library",36.152004,-86.844134,,POINT (-86.844134 36.152004)
20,1969,Ryman Auditorium,"The Union Gospel Tabernacle was built in 1892 after steamboat captain Thomas Ryman heard Rev. Sam P. Jones speak at a tent revival in 1885. Ryman commissioned architect Hugh C. Thompson to build the Gothic Revival church, which quickly became a place for secular and religious gatherings. After Ryman's death in 1904 it was renamed in his honor. Nicknamed the 'Mother Church of Country Music,' the Ryman Auditorium was home to WSM's 'Grand Ole Opry' from 1943-1974.",,Marker Project- prioirty list replaced with updated  text 2018,116 5th Avenue North,36.161237,-86.778856,CURRENTLY DOWN,POINT (-86.778856 36.161237)
141,2011,Rca Studio B,"RCA Records established a recording studio in this building in November 1957, with local offices run by guitarist-producer Chet Atkins. Its success led to a larger studio, known as Studio A, built next door in 1964. Studio B recorded numerous hits by Elvis Presley, the Everly Brothers, Roy Orbison, Don Gibson, Charley Pride, Jim Reeves, Dolly Parton, and many others. Along with Bradley Studios, Studio B is known for developing 'The Nashville Sound.'",,Donated by the Mike Curb Foundation,34 Music Square West,36.15013,-86.793178,,POINT (-86.79317800000001 36.15013)
37,1970,Battle of Nashville Peach Orchard Hill,"On Dec. 16, 1864, Gen. S.D. Lee's Corps, Army of Tennessee, held this right flank of Hood's defense line which ran south along the crest of this ridge. Violent artillery fire & infantry attacks by the corps of Wood & Steedman failed to dislodge the defenders who withdrew only after the collapse of the Confederate left and center in late afternoon.",TRUE,,"North side of Harding Place, East of Franklin Road",36.085754,-86.768892,,POINT (-86.768892 36.08575400000001)
54,1975,Site of Waterworks Plant,"The city's present waterworks was inaugurated at this site Oct. 1, 1833. The pumping station was erected on the lower river bluff & the reservoir on the upper grounds. German engr., Albert Stein, designed and supervised construction. The system cost $55,000, the first bonded debt of the city. A new plant was in operation & this site was abandoned by Apr. 1891.",,,Hermitage Avenue at Academy Place,36.155188,-86.765555,,POINT (-86.765555 36.155188)
213,,Clark Memorial United Methodist Church,"Founded in South Nashville in 1865, Clark Memorial moved to North Nashville in 1936 and to this location in 1945. The church was central to the Civil Rights movement in Nashville, with activist James M. Lawson conducting classes here in 1959 on non-violent protests. Lawson was a founding member of the Student Non-Violent Coordinating Committee (SNCC), whose Nashville members included students at American Baptist College, Fisk Univ., Tenn. A&I (now Tenn. State) and Vanderbilt Univ.",,In Honor of Matthew Walker Jr.,1014 14th Avenue North,36.169394,-86.800271,ordered/ not arrived,POINT (-86.800271 36.169394)
210,2019,Rev. Nelson G. Merry,"The Reverend Nelson G. Merry, born enslaved in 1824 in Kentucky, was brought to Tennessee by his master. At age 16, his widowed mistress willed him to the First Baptist Church. He was freed in 1845. Merry preached to the 'colored' mission of First Baptist, which was established in 1843. When it became 'First Colored Baptist Church' (now First Baptist Church, Capitol Hill) in 1865, Merry, an ordained minister, was named pastor. The Rev. Merry is buried in Mt. Ararat Cemetery.",,,10th Ave N at Nelson Merry St.,36.164449,-86.789276,waiting to install,POINT (-86.78927600000002 36.164449)
7,1968,East Nashville Fire,"Nashville's worst disaster by fire occurred Wednesday, March 22, 1916. It began at 11:47 a.m. in the rear of Seagraves Planing Mill, 80 yards west, and was swept eastwardly by 44 to 51 mph gales.  It was brought under control at 4:30 p.m. near So. Tenth and Dew Streets.  648 buildings were burned, 1 life lost and 3,000 people left homeless.",,,211 North 1st Street,36.175227,-86.774227,,POINT (-86.774227 36.175227)
92,1994,Captain Ryman's Home,"On this site stood the residence of Captain Thomas Green Ryman, owner of the Ryman steamboat line and builder of the Union Gospel Tabernacle, renamed Ryman Auditorium after his death in 1904. The Queen Anne frame house with a slate roof, seven gables and two turrets, served as the home of Captain and Mrs. Ryman and their seven children from 1885-1926. The house was razed in 1940.",,"text on one side, sketch of the building on the other",500 2nd Avenue South,36.156037,-86.771124,,POINT (-86.771124 36.156037)
85,1990,Vine Street Temple,"Nashville's Jewish community began in the 1840s. Many early families were immigrants fleeing oppression in Germany, Russia, and Poland. Completed in 1876, the Vine Street Temple, with nine Byzantine domes was Nashville's first synagogue, for 80 years a symbol of the city's strong Jewish presence. In 1955, the Reform congregation moved to West Nashville where it and other Jewish congregations continue today.",,"text on one side, sketch of the building on the other",Commerce Street and Seventh Avenue North,36.160973,-86.781619,,POINT (-86.781619 36.160973)
123,2005,Watkins Park,"Land once known as Watkins Grove was given to the city in 1870 by brick maker and contractor Samuel Watkins. It served as a site for political gatherings, school commencements and concerts. This became Nashville's first public park in 1901. Park Board chairman E.C. Lewis planned landscape features including a stone entrance and fence, walkways, flowerbeds, and benches, which were built with materials donated by citizens. In 1906, the Centennial Club opened the city's first playground here, setting a precedent for public recreation facilities elsewhere in the city. Improved by the Works Progress Administration in the 1930s, Watkins Park was a park for black Nashvillians from 1936 until the 1960s, when the park system was desegregated.",,,"Watkins Park, Jo Johnston Avenue and Henry Hale Boulevard",36.161798,-86.798944,,POINT (-86.798944 36.161798)
86,1990,Luke Lea Heights 5 Miles Ahead on Scenic Drive,"Luke Lea (1879-1945) envisioned this park, gave to the city in 1927 the original 868 acres, and asked that the land be named for his father-in-law, Percy Warner. Founder of The Nashville Tennessean, Lea was a key developer of Belle Meade, a U.S. senator, organizer and colonel of the 114th Field Artillery, WWI.  To honor him the Park Board named a high hill and overlook Lea Heights.",,,"Belle Meade Boulevard, inside Percy Warner Park",,,,
145,2012,Scarritt College for Christian Workers,"Established in Kansas City in 1892 by the Methodist Episcopal Church South and moved to Nashville in 1924, Scarritt trained laity in Christian education, music, and missions until it closed in 1988. Much of the Collegiate Gothic campus architecture was designed by Nashville architect Henry C. Hibbs.  The campus was listed in the National Register of Historic Places in 1982. A leader in racial integration in the South, Scarritt integrated its student population in 1952. The Rev. Martin Luther King, Jr. spoke in Wightman Chapel to the Conference on Christian Faith and Human Relations on April 25, 1957. From its beginning, Scarritt had an international student population that reflected its commitment to a global understanding of racial justice and equality. Its mission and vision continue today through the Scarritt-Bennett Center.",,Donated by the Scarritt Alumni Association,"In front of Wightman Chapel, 1008 19th Avenue North",36.145991,-86.797257,,POINT (-86.797257 36.145991)
33,1970,Mcconnell Field,"In 1927 the City bought 131 acres from Warren Sloan and made this the Nashville airport, named for Lieut. Brower McConnell, Tennessee National Guard pilot who died that year in an air crash. The hangars were 50 yards east. Aircraft outgrew the field in the 1930s and moved to Sky Harbor and Berry Field. The Park Board began the golf course in 1939.",,,"Murphy Road, by the club house in McCabe Park",36.14117,-86.841381,,POINT (-86.841381 36.14117)
66,1976,Cornelia Fort Airport,"Cornelia Fort (1919-43), Nashville's first woman flying instructor volunteer, Army's WAFS, WWII, was the first woman pilot to die on war duty in American history. 'I am grateful that my one talent, flying, was useful to my country.' she wrote shortly before her death. Miss Fort was lost in a crash over Texas flying a basic-trainer plane, BT 13-A, across the United States.",,,"Cornelia Fort Airport, Airpark Drive",36.190367,-86.70405,,POINT (-86.70405 36.190367)
35,1970,William Walker 'grey-eyed Man of Destiny',"Born May 8, 1824, Walker moved to this site from 6th Ave. N. in 1840. In early life he was doctor, lawyer, & journalist. He invaded Mexico in 1853 with 46 men & proclaimed himself Pres., Republic of Lower Calif. Led force into Nicaragua in 1855; was elected its Pres. in 1856. In attempt to wage war on Honduras was captured & executed Sept. 12, 1860.",,,Commerce Street at Fourth Avenue North,36.162431,-86.777684,,POINT (-86.777684 36.162431)
44,1971,Timothy Demonbreun,"Jacques-Timothe' De Montbrun, born on Mar. 23, 1741, in Boucherville, Quebec, was the first white man to live in the Nashville area. Beginning in 1769, he spent several winters here trading for furs. He served as Lieut. Gov. of Illinois Country, 1783-86. He became permanent resident of Nashville in 1790, operating store & tavern. Died at home on this site, Oct. 30, 1826.",,wall marker,"Third Avenue North, near intersection with Broadway, wall marker",36.16201,-86.775603,,POINT (-86.775603 36.16201)
200,2019,Josephine Groves Holloway 1898-1988,"Josephine Holloway graduated from Fisk Univ. with a degree in sociology in 1923. She worked at Bethlehem Center as a case worker, where she began organizing the first African-American Girl Scouts troops in Middle Tenn. In 1924 Holloway trained with Girl Scouts founder Juliette Gordon Low. From 1944-63 she worked as the GS Council's first black professional. In 1951 her efforts were central to establishing Camp Holloway, in Millersville, Tenn., for African American girls.",,Council District 34 double sided,4522 Granny White Pike,36.089473,-86.802738,,POINT (-86.802738 36.089473)
204,2019,Hillsboro High School,"Hillsboro High School was built in 1939 to serve rural students between Bellevue and Antioch.  It is named for Hillsboro Pike, which runs along the western boundary of the school property to the former town of Hillsboro in Williamson Co. In 1952, following a complete renovation, the school was destroyed by a fire. Edwin Keeble designed the current mid-century modern building in 1954. It was expanded in 1958 and the campus was renovated in 1995. The iconic clock was added in 1958.",,Council District 25,"Hillsboro High School,  3812 Hillsboro Pike",36.106822,-86.813035,waiting to install,POINT (-86.813035 36.106822)
111,2003,The Harpeth Hall School,"On Sept. 17, 1951, Harpeth Hall opened as an independent girls' college preparatory school on the former P.M. Estes estate. Susan Souby headed the first school of 161 girls. Originating with Ward Seminary (1865-1913); Belmont College for Young Women (1890-1913); and the Ward Belmont School (1913-1951), Harpeth Hall continued Nashville's tradition of superior single-gender education. Motto: Let us lift up the mind and spirit.",,,3801 Hobbs Road,36.103404,-86.839306,,POINT (-86.839306 36.103404)
70,1978,United Nations Visit to Nashville,"On June 7, 1976, 101 permanent representatives of the United Nations made a historic and unprecedented group visit to Nashville at the invitation of Tennessee Governor Ray Blanton and Nashville Mayor Richard Fulton. During the visit, the United Nations representatives attended a forum at nearby Vanberbilt University, a special Tennessee luncheon in Centennial Park, and a special performance of the Grand Ole Opry. United Nations Secretary-General Kurt Waldheim was presented the Cordell Hull Peace Award by the State of Tennessee and Vanderbilt University during the visit.",,,"Centennial Park, front lawn of Parthenon",36.148817,-86.8119,,POINT (-86.8119 36.148817)
10,1968,Two Rivers Mansion,"Built in 1859 by David H. McGavock, this mansion stands on land inherited by McGavock's wife, Willie, from her father, William Harding.  The smaller house to the left was built in 1802.  Dr. James Priestley's Academy, established about 1816, was located on the 1,100 acre farm 1 mile from the mansion on the Cumberland River bluff.",,,"In front of Two Rivers Mansion, 3130 McGavock Pike",36.189087,-86.674773,,POINT (-86.674773 36.189087)
103,1999,Julia Mcclung Green 1873-1961,"Dedicated educator who served Davidson County public schools 57 years as a teacher, the first Supervisor of Elementary Education 1911-1944 and Director of Character Education, Miss Julia oversaw schools countywide. A progressive, she pioneered school hot lunch and health programs for children, local affiliation with national education organizations, and the local PTA movement.",,,3500 Hobbs Road,36.102407,-86.833444,,POINT (-86.833444 36.102407)
190,2019,Hell's Half Acre,"North and west of the State Capitol was an area city reformers called 'Hell's Half Acre.' Home to immigrants and free and enslaved Blacks, it was a part of a red-light district before, during and after the Civil War. Line St. (now Jo Johnston Ave.) included brothels, bars and secret gambling houses, but the area was also home to a rich African-American culture. Razed as part of the Capitol Hill redevelopment plan in the 1950s, its residents relocated to other parts of the city.",,Marker Project-priority list,,,,NOT UP YET,
73,1981,Assumption Church,"Nashville's second oldest Catholic church, dedicated Aug. 14, 1859, its rectory on right was added in 1874, school on left in 1879. The present altar, windows, and steeple were added later. The Germantown neighborhood grew around it; sermons were often in German until World War I. The parish has produced many nuns and priests including Archbishop John Floersh and Cardinal Stritch.",,double-sided with #74,1227 Seventh Avenue North,36.175419,-86.790929,,POINT (-86.790929 36.175419)
99,1996,Lake Providence Community,"Soon after the Civil War, freed slave families established farms and dairies in this community named for Lake Providence Missionary Baptist Church. The church was founded in 1868 by Rev. Larry A. Thompson, a traveling missionary. The first church building and school stood nearby. Many roads in this area are named for African-American settlers.",,,4500 block Nolensville Road,36.071514,-86.723825,,POINT (-86.723825 36.071514)
147,2013,Fehr School,"Named for local merchant and former school board member Rudolph Fehr, and designed by architects Dougherty and Gardner, Fehr School opened in 1924. On Sept. 9, 1957, Fehr became one of the first schools in Nashville to desegregate, admitting four African American first graders, who attended despite a hostile atmosphere. Some 200 protestors surrounded the school, and it received bomb threats prior to Hattie Cotton School being firebombed shortly after midnight on Sept. 10",,,1624 Fifth Avenue North (Salemtown),36.182203,-86.792432,,POINT (-86.792432 36.182203)
98,1996,Jackson's Law Office,Andrew Jackson settled in Nashville in 1788 and served as Atty. Gen. until 1796. Lawyer John Overton owned a building here (1791-96) and shared office space with his friend Jackson. Jackson was Tennessee's first Rep. to Congress (1796) and state Superior Court judge (1798-1804). He led U.S. troops to victory at the 1815 Battle of New Orleans and was elected President in 1828.,,Donated by the Nashville Bar Association,"333 Union Street, wall marker",36.165185,-86.779712,,POINT (-86.779712 36.165185)
61,1975,Nashville Academy of Medicine,"The Nashville Medical Society, the first medical association in Tennessee, was founded March 5, 1821, by seven physicians in the log courthouse on the Public Square. The first president was Dr. Felix Robertson (1781-1865), son of James and Charlotte Robertson and two-time Nashville mayor. On September 4, 1906, the organization was chartered by the State of Tennessee as the Nashville Academy of Medicine and Davidson County Medical Society.",,Marker Project- prioirty list replaced with new text in 2018,33rd Ave near West End Ave,36.14086,-86.81684,,POINT (-86.81684 36.14086)
193,2019,Club Baron,"Jefferson Street developed as a vibrant African-American commercial district in the late-19th and early-20th century.  As Fisk University, Tenn. A&I (Tenn. State Univ.) and Meharry Medical College grew, more restaurants, shops and music venues opened to cater to nearby residents. Built in 1955 during the golden age of Jefferson Street's music scene (1935-65), Club Baron is the only extant nightclub from that time. Owned by local pharmacist Jackson H. Brown, the building also   served as a secondary location for Brown's Pharmacy, as well as the only skating rink in town for African Americans.  The club is best known as the site of a 1963 guitar duel where Nashville bluesman Johnny Jones bested up-and-comer Jimi Hendrix. Other well-known performers included Fats Domino, Etta James, Little Richard, Otis Redding, Muddy Waters, Jackie Wilson and Ruth McFadden. Now owned by the Elks Lodge, the building was preserved as a local Historic Landmark in 2016.",,Council District 21,2614 Jefferson St.,36.168062,-86.818085,,POINT (-86.818085 36.168062)
65,1976,General Thomas Overton 1753-1824,"Gen. Thomas Overton served in the Revolutionary War and as Inspector of Revenue in N.C., the same position held by his brother Judge John Overton in Tenn. He was one of Gen. Jackson's seconds in duel with Chas. Dickinson. This grave plot was a part of his homeplace, 'Soldier's Rest,' where he lived from 1804 until his death in 1824.",,replaced with updated text 2011,"Donelson Avenue west of Bryan Street, Old Hickory",36.264067,-86.6514,,POINT (-86.6514 36.264067)
17,1969,Chickasaw Treaty,"In 1783, Chickasaw chiefs met with white settlers at a spring 100 yards north and agreed on land rights—the Cumberland country for the settlers, the Tennessee River lands beyond the Duck River ridge for the Chickasaw. This tribe became firm friends of James Robertson and his people, but the settlement suffered many more raids by Cherokees and Creeks.",,,Corner of Morrow Road and Terry Drive,36.163142,-86.863283,,POINT (-86.863283 36.163142)
23,1970,Cumberland Park,"The Cumberland Fair and Racing Association sponsored harness racing here 1891-1894. The great match race between Hal Pointer of Tennessee and Direct of California occurred Oct. 21, 1891. Direct won all three heats in record time for a pacing race. Arion, Directum, Kremlin, Robt. J. raced here. Running races 1893-1906 preceded the State Fair 1906.",,,"State Fairgrounds, intersection of Walsh Road, Rains Avenue, and Wedgewood Avenue",36.132763,-86.764927,,POINT (-86.764927 36.132763)
143,2011,J. W. Price Fire Hall,"Constructed in 1892 for Hose Company #1, this building is one of the earliest extant fire halls in Nashville. The upstairs housed firefighters while the lower floor stabled the company's two horses. R. C. Burk served as the first Captain. The fire hall was renamed for J.W. Price, a local businessman, c1910. In 1993, the building reopened as a branch of the Nashville Public Library, and is named for State Legislators Charles and Mary Pruitt.",,,117 Charles E. Davis Boulevard,36.151752,-86.762035,,POINT (-86.762035 36.151752)
155,2013,Woman Suffrage Rallies,"Centennial Park was the site of May Day rallies held annually from 1914 until 1920, when the Tennessee General Assembly ratified the 19th Amendment to the U.S. Constitution, guaranteeing the right to vote to American women. Suffragists marched from the State Capitol to Centennial Park, where thousands gathered to hear speakers such as Anne Dallas Dudley, Maria Thompson Daviess, Sue Shelton White, and Abby Crawford Milton.",,,"Centennial Park, along 28th Avenue North near Art Center",36.153343,-86.812373,,POINT (-86.81237300000001 36.153343)
34,1970,Hillsboro Toll Gate No. 1,"Ten yds. north stood toll gate and toll gate house erected by Nashville and Hillsboro Turnpike Co., Incorporated in 1848.  Charges to travel macadamized road could not exceed: horse or mule, 3 cents; 10 sheep, 20 cents; 20 meat cattle, 25 cents; carriage drawn by pair of horses or mules, 25 cents.  Toll removed in 1903.  Toll gate house, enlarged, stands 20 yds. northwest.",,,Lawn of fire department near Hillsboro Road and Blair Boulevard,36.129691,-86.802425,,POINT (-86.802425 36.129691)
185,2019,Patsy Cline's Dream House,"This is the 'dream house' of country music icon Patsy Cline, born Virginia Patterson Hensley in 1932. Roy Acuff offered her a job by the age of 16, but she opted to sing with a local group back home in Winchester, Va. She changed her name in 1953 and debuted on the Grand Ole Opry in 1955. She got her big break in 1957 singing 'Walkin' After Midnight' on Arthur Godfrey's Talent Scouts. In 1973, she became the first female solo artist inducted into the Country Music Hall of Fame.",,Marker Project-priority list,815 Nella Drive,36.281195,-86.736146,,POINT (-86.736146 36.281195)
169,2018,Alex Little Page Green (1806-1874),"In 1829, The Rev. Alex Green joined the Methodist Episcopal Church's Nashville Conference. Elected vice-president of the TN Conference's Temperance Society in 1835, Green was instrumental in the Southern Methodist Publishing House's move to Nashville in 1854, and helped establish Shelby Medical College (1857) and Vanderbilt University (1875). By private venture, he opened Union St. from College St. to Market St. c. 1870. This area's first school was renamed Alex Green Academy in 1887.",,Council District 3,"3921 Lloyd Road,  Alex Green Elementary School",36.253871,-86.830129,,POINT (-86.83012900000001 36.253871)
40,1971,James Carroll Napier,"James C. Napier (1845-1940), Nashville Negro lawyer, educator, member of the city council, delegate to four Republican conventions, Register of U.S. Treasury, 1911-1915, was a trustee of Fisk, Howard, and Meharry, advocate of the public schools, and founder of the One-cent Savings Bank, later the Citizens Savings Bank and Trust Co.",,,corner of Lafayette Street and Claiborne Street,36.147631,-86.759859,,POINT (-86.759859 36.147631)
149,2013,Holly Street Fire Hall,"Completed in 1914, J.B. Richardson Engine Company No. 14 was designed by Nashville's first city architect, James B. Yeaman. Designed to blend in with the surrounding residential neighborhood, it was the first fire hall in the city built specifically for motorized fire trucks. Except for short periods during renovations, this fire hall has been in continuous use since its construction, and was listed in the National Register of Historic Places in 1982.",,double-sided,1600 Holly Street,36.175477,-86.74195,,POINT (-86.74195 36.175477)
31,1970,First Airfield,"E. L. Hampton's pasture became 'Hampton Field' when transient airplanes began landing here during the first World War. About 2,000 feet long from here west, bonded north and south by Golf Club Lane and Woodmont Boulevard, it continued in use as Nashville's first airfield about five years until the opening of Blackwood Field in 1921.",,,2305 Hampton Avenue,36.116717,-86.817237,,POINT (-86.817237 36.116717)
91,1993,St. Patrick Catholic Church,"Erected in 1890 and named for Ireland's patron saint, this Second Empire style church was built to serve South Nashville's growing Irish Catholic population. Until 1954, the Sisters of Mercy taught a grade school here. Since the 1890s, the Irish Travelers, a unique clan of American nomads, have come here periodically for weddings and funerals.",,,1219 Second Avenue South,36.144662,-86.764131,,POINT (-86.764131 36.144662)
194,2019,Marathon Motor Works,"This Italianate-style 1881 factory first housed the Nashville Cotton Mills, which built the middle section c. 1885. It became Phoenix Cotton Mills in 1894. In 1910 Southern Motor Works of Jackson, Tenn. moved in, becoming Marathon Motor Works in 1911. The final portion of the plant and an elegant office and showroom across Clinton St. were built in 1912. Marathon made vehicles in Jackson (1907-1910) and here (1910-1914). It operated as a parts and service business until 1918.  In 1906, William H. Collier, engineer at Southern Engine and Boiler Works in Jackson, Tenn. designed the 'Southern' car, renamed 'Marathon' after a 1909 contest. Marathon Motor Works' roadsters, touring cars, coupes, limousines, and trucks were sold worldwide with four-cyl. engines ranging from 20-45 hp. The 'Marathon' was the first car entirely manufactured in the South. In 1986, Barry L. Walker began redeveloping the complex into a creative community called Marathon Village.",,Marker Project- prioirty list replaced #26 Marathon Motor Car,1200 Clinton Street,36.164514,-86.795973,,POINT (-86.795973 36.164514)
195,2019,Nashville School of Law,"Founded in 1911 by the Young Men's Christian Association, the Nashville YMCA Night Law School was created to make legal education accessible to working-class people. The School shared space on the 3rd floor of the YMCA at 7th & Union with the John Hill Eakin Educational Institute and moved to the basement of the Church St. YMCA before moving to its own campus in 1991. Renamed the Nashville School of Law in 1986, it is the only remaining independent law school created by the YMCA.",,Marker Project- prioirty list,900 Church Street,36.161285,-86.784822,,POINT (-86.784822 36.161285)
102,1997,Saint Thomas Hospital,"On April 11, 1898, at the request of Nashville Bishop Thomas Byrne, the Daughters of Charity opened Saint Thomas Hospital on this site in the former home of Judge J. M. Dickinson. Named for Byrne's patron saint, the hospital began as a 26-bed 'refuge for the sick,' opened a new building in 1902, operated a School of Nursing, and grew to 333 beds before moving in 1974 to 4220 Harding Road.",,,Hayes Street betweenTwentieth Avenue North and Twentiest-First Awvenue North,36.15215,-86.800731,,POINT (-86.800731 36.15215)
15,1969,Powder-grinding Wheels,"These wheels used by the Confederacy to grind gunpowder at Augusta, Ga., in 1863-1864 were made in Woolwich, England and were shipped on the blockade runner 'Spray,' via Mobile. After the war Gen. Miles purchased them for use at Sycamore Powder Mills, Cheatham County. They were exhibited at the Tennessee Centennial Exposition in 1897.",,,"Near present position of wheels in Centennial Park, by Park Plaza entrance",36.146436,-86.809605,,POINT (-86.809605 36.146436)
64,1976,Adolphus Heiman 1809-1862,"Born in Potsdam, Prussia. Came to Nashville 1838. Lived in home on this site. Architect, Engineer & Builder. Designed Univ. of Nash. Main Bldg.; Central State Hosp. Main Bldg.; Suspension Bridge over Cumberland River. Masonic Leader; Adj. U.S. Army Mexican War; Col. 10th Tenn. Inf. Reg. C.S.A. Civil War. Buried in Confederate Circle Mount Olivet Cemetery.",,,corner of Jefferson Street and 9th Avenue North,36.173077,-86.792451,,POINT (-86.792451 36.173077)
164,2018,Antioch Pike,"The Mill Creek Valley Turnpike Company was incorporated by the Tenn. Gen. Assembly on Jan. 21, 1846. Starting near the four mile mark of Nolensville Pike, the road went through Mill Creek valley, 'crossing main Mill creek at or near Rains' mills, passing Antioch meeting house' and continuing south. Tollbooths could be established every five miles to pay for the completion of the road. The name was changed to Antioch Pike in October 1928.",,Marker Project-priority list,2360 Antioch Pike,36.06097,-86.674603,,POINT (-86.674603 36.06097)
121,2005,Belle Meade Golf Links Historic District,"Platted in 1915 by developer Johnson Bransford, Belle Meade Golf Links is one of the early subdivisions that arose from the dissolution of the world-famous Belle Meade Plantation. This small residential district represents early 20th century subdivision design and is listed in the National Register of Historic Places.",,,"Belle Meade Golf Links, Intersection of Windsor Drive and Blackburn Avenue",36.101873,-86.865887,,POINT (-86.865887 36.101873)
25,1970,Transfer Station Site,"Site of electric street railway transfer station 1902-1940. Electric streetcar service began formally on April 30, 1889 replacing mule-drawn streetcars which had served the city since 1866. Final run for the electric streetcars was February 2, 1941 on Radnor line. Operation of bus system began Aug. 4, 1940 on Hillsboro-Sunset line",,,Near corner of 3rd Avenue and Deaderick Street,36.166283,-86.779355,,POINT (-86.77935500000001 36.166283)
134,2008,"Battle of Nashville (december 16, 1864) Confederate Final Stand","After the withdrawal from the main Confederate line at Peach Orchard Hill, Lt. Gen. Stephen D. Lee formed a battle line across Franklin Pike 400 yards east of here with 200 men from the remnants of Brig. Gen. Henry Clayton's division and two cannons from the Eufaula Light Artillery. This last line of defense halted the Federal pursuit for the night as the Confederate army retreated through the hills to the southwest.",TRUE,,827 Tyne Blvd,36.077687,-86.777135,,POINT (-86.777135 36.077687)
